Bank,IntChk2.5k,IntChk5k,MM2.5k,MM10k,MM25k,MM50k,MM100k,MM250k,Savings1k,Savings2.5k,3MoCD,6MoCD,9MoCD,1YrCD,18MoCD,2YrCD,30MoCD,3YrCD,4YrCD,5YrCD,36MoNAuto25k,48MoNAuto25k,60MoNAuto25k,72MoNAuto25k,36MoUAuto15k,48MoUAuto15k,60MoUAuto15k,72MoUAuto15k,36MoFixedUnsecLoan5k,60MoNRV25k,60MoNBoat25k,PlatCC,RwrdsCC,InterestIncomeoverAvgAssets,InterestExpenseoverAverageAssets,NetInterestIncomeoverAvgAssets,NetInterestMargin,YieldoverCostSpread,YieldonSecurities&OtherAssets,YieldonDebtandEquitySecurities,YieldonOtherAssets,AssetweightedSecurities&OtherYield,AssetweightedLoanYield,AssetweightedSecuritiesYield,AssetweightedOtherAssetYield,YieldonEarningAssets,YieldonLoansandLeases,NoninterestIncomeoverAverageAssets,GrossLoansoverAssets,LoansoverDeposits,OperatingExpenseoverOperatingRevenue,RiskBasedCapitalRatio,EquityoverAssets,ReservesoverNPAs,NetChargeoffsoverAvgLoans,LiquidityRatio,LiquidAssetsoverAssets,OneYearGapoverAssets,EarningAssetsoverIBL,CostofFunds,CostofInterestbearingLiabilities,CostofIntbearingDeposits,CostofBorrowings,CostofTimeDeposits$250K,CostofOtherTimeDeposits,LiabweighCostofIntbearDep,LiabilitywtdBorrowingCost,AssetGrowthRate,DepositGrowthRate,ChangeinAssets,ChangeinDeposits,ROAA
Bank592,0.2,0.2,0.1,0.1,0.1,0.4,0.55,0.6,0.2,0.2,0.25,0.25,0.25,1.5,0.45,1.85,0.6,0.85,1,1,,,,,,,,,,,,,,4.38,0.57,3.81,4.06,3.92,1.87,1.73,1.9,0.26,4.4,0.04,0.23,4.67,5.13,0.34,80.22,111.09,81.63,20.19,13.34,142.25,0,13.73,11.9,-5.01,122.23,0.67,0.75,0.58,1.48,1.01,0.97,0.47,0.28,-3,6.86,-0.75,1.71,0.55
Bank593,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.05,0.05,0.1,0.2,,0.4,0.45,0.6,0.65,0.85,1.2,1.45,,,,,,,,,,,,,,3.78,0.58,3.2,3.4,3.29,2.83,2.83,2.83,0.39,3.64,0.35,0.03,4.03,4.21,0.7,81.6,98.9,71.37,19.05,10.99,233.29,0,14.98,13.33,-7.46,118.95,0.66,0.73,0.62,2.25,1.48,1.17,0.58,0.16,3.24,10.3,0.81,2.58,0.86
Bank594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,0.68,3.19,3.38,3.2,2.19,1.71,2.43,0.11,3.99,0.03,0.08,4.1,4.2,0.57,86.56,104.99,79.21,15.43,10.83,188.08,0.01,9.17,8.18,-7.35,124.86,0.76,0.89,0.79,2.16,1.42,1.07,0.73,0.16,5.9,6.56,1.47,1.64,0.57
Bank595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,0.73,2.99,3.03,2.88,1.72,1.92,1.18,0.46,3.3,0.38,0.09,3.77,4.53,0.18,72.39,86.02,63.8,24.96,13.47,200.51,0.18,26.63,23.04,-5.83,116.33,0.84,0.89,0.87,1.6,1.51,1.36,0.85,0.04,1.5,2.48,0.37,0.62,0.84
Bank596,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.05,0.05,0.1,0.2,,0.4,0.45,0.6,0.65,0.85,1.2,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank597,0.1,0.1,0.25,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.25,0.35,0.51,1.28,1.48,1.58,,,1.68,,,,,,,,,,,,,,3.43,0.67,2.76,2.91,2.81,1.7,2.14,1.57,0.18,3.44,0.05,0.13,3.62,3.85,0.13,86.89,107.17,83.26,19.8,11.75,,0,9.23,8.15,-16.04,113.91,0.76,0.81,0.67,2.08,1.42,1.06,0.6,0.2,5.23,16.92,1.31,4.23,0.37
Bank598,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.11,0.11,0.1,0.25,,0.4,0.45,0.8,,1,,1.75,3.24,3.74,4.25,,3.24,3.74,4.25,,6.5,7,,11.49,13.49,3.91,0.46,3.46,3.74,3.71,2.83,2.55,33.04,0.49,3.74,0.44,0.05,4.23,4.53,0.75,76.51,93.92,53.86,13.31,11.03,96.37,0.01,11.92,10.61,-6.92,147.78,0.41,0.53,0.31,2.31,1.07,1.06,0.28,0.24,2.46,12.21,0.62,3.05,1.46
Bank599,0.15,0.15,0.4,1.26,1.26,1.26,1.26,1.46,0.15,0.15,0.35,0.55,,0.9,0.95,1.1,1.21,1.36,1.51,1.66,4.5,4.75,4.75,,4.75,5,,,,5.25,5.25,11.49,13.49,3.89,0.75,3.14,3.37,3.11,2.44,2.44,2.43,0.61,3.57,0.55,0.06,4.18,4.76,0.72,70.26,82.99,67.99,14.06,10.38,139,0.02,12.34,11.06,8.48,136.8,0.82,1.07,1.03,1.58,1.29,1,0.96,0.11,7.19,3.64,1.8,0.91,0.89
Bank600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,0.6,2.14,2.2,2.01,2.28,2.28,2.27,1.63,1.18,1.28,0.35,2.81,4.15,0.14,28.16,37.21,111.95,96.49,20.34,19.23,0.18,87.63,69.81,-0.35,131.38,0.75,0.8,0.75,1.57,1.11,1.1,0.7,0.09,-11.02,-5.07,-2.75,-1.27,-0.01
Bank601,0.15,0.4,0.1,0.15,0.25,0.5,0.5,0.5,0.1,0.1,0.2,0.25,0.4,1.5,0.6,0.7,0.75,1,1.25,1.5,,,,,,,,,,,,11.49,13.49,3.45,0.73,2.71,2.82,2.67,1.47,,,0.16,3.43,,,3.58,3.84,0.79,86.92,99.3,52.51,19.61,11.73,73.92,0,10.31,9.1,-2.12,118.63,0.83,0.91,0.91,,1.58,1.27,0.91,,-3.45,-5.28,-0.86,-1.32,1.66
Bank602,0.05,0.05,0.02,0.02,0.02,0.02,0.02,0.02,,,0.05,0.05,0.05,0.05,0.05,0.05,,0.1,0.15,0.2,6,6.25,6.5,,6.75,6.75,,,12,,,,,3.58,0.49,3.09,3.27,3.15,2.45,2.81,1.43,0.52,3.27,0.44,0.08,3.79,4.16,0.5,73.58,94.75,94.46,17.96,12.25,180.73,-0.01,23.45,20.58,-10.73,124.11,0.56,0.64,0.48,1.75,1.28,1.1,0.42,0.23,2.52,6.49,0.63,1.62,0.1
Bank603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,0.62,2.69,2.73,2.63,1.65,2.53,1.64,0.72,2.64,0.02,0.7,3.36,4.67,0.07,55.91,64.48,81.81,33.18,11.02,174.05,0,47.69,42.44,34.68,115.55,0.69,0.73,0.7,1.78,1.39,1.2,0.68,0.05,-7.5,-8.8,-1.87,-2.2,0.37
Bank604,0.2,0.2,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.8,1,,1.25,1.25,1.55,1.6,1.8,1.85,2.15,,,,,,,,,,,,,,2.67,0.83,1.84,1.92,1.86,2.23,2.21,2.75,1.41,1.38,1.35,0.06,2.79,3.75,0.39,35.41,44.45,67.67,22.4,9.25,29.04,0,51.02,46.3,-8,105.83,0.92,0.93,0.84,1.56,1.4,1.5,0.74,0.19,0.72,4.97,0.18,1.24,0.52
Bank605,0.05,0.05,0.05,0.1,0.1,0.15,0.2,0.2,0.05,0.05,0.15,0.2,,0.25,0.35,0.45,0.55,0.6,0.9,1.3,3.5,3.5,3.5,3.5,4.25,4.25,4.25,,11,6,6,,,3.82,0.4,3.42,3.47,3.36,1.73,1.74,1.71,0.34,3.53,0.23,0.11,3.88,4.41,0.4,76.94,100.19,66.8,35.05,17.49,79.39,0.05,20.82,17.18,6.79,125.93,0.49,0.51,0.39,2.2,1.32,1.03,0.36,0.16,10.23,12.08,2.56,3.02,1.02
Bank606,0.02,0.02,0.03,0.04,0.05,0.1,0.14,0.14,0.01,0.01,0.02,0.05,0.1,0.1,0.12,1.85,0.18,0.2,0.25,0.3,4.35,4.35,4.47,4.47,4.49,4.49,4.63,,9.22,8.54,6.22,13.99,7.5,3.53,0.52,3.01,3.28,2.96,2.34,2.36,1.39,0.56,3.28,0.56,0.01,3.85,4.32,0.97,69.99,84.98,60.76,12,10.6,48.14,0.26,11.86,10.6,13.7,156.84,0.58,0.88,0.77,1.65,0.77,1.54,0.67,0.22,-0.74,3.94,-0.19,0.99,1.06
Bank607,0.05,0.05,0.1,0.2,0.2,0.3,0.55,0.55,0.1,0.1,0.15,0.45,0.45,0.99,1.05,1.1,1.1,1.25,1.3,1.35,4.99,4.99,4.99,,5.99,5.99,5.99,,,,,11.49,13.49,4.24,0.78,3.46,3.61,3.19,2.04,2.11,1.62,0.28,4.14,0.25,0.03,4.42,4.8,0.48,83.3,100.95,57.64,15.43,10.64,131.75,-0.01,12.47,11.14,-18.64,149.28,0.88,1.23,1.03,3.2,1.27,1.21,0.94,0.29,7.3,2.71,1.83,0.68,1.14
Bank608,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.25,,0.5,0.6,0.65,,0.85,1.1,1.3,3.75,3.75,3.75,4.25,4.75,4.75,,,9.5,6.5,6.25,,,4.2,0.62,3.58,4.01,3.95,2.57,2.63,2.2,0.55,4.15,0.49,0.06,4.7,5.28,1.01,70.78,87.18,75.07,16.56,11.24,103.74,0.06,12.31,10.92,20.32,136.55,0.59,0.75,0.48,2.89,1.62,0.28,0.43,0.32,-11.29,4.58,-2.82,1.15,0.9
Bank609,0.05,0.05,0.1,0.1,1.4,1.4,1.4,0.7,0.07,0.07,0.2,0.25,0.3,0.4,0.55,1.8,0.8,0.9,1.25,1.45,4.89,4.89,4.89,5.19,4.94,4.94,4.94,5.24,9.99,7.24,7.24,11.49,13.49,3.73,0.7,3.03,3.19,3.04,2.71,2.63,3.34,0.28,3.64,0.24,0.04,3.92,4.06,1.7,84.08,104.84,86.38,12.18,9.8,52.5,0.08,12.23,11.03,2.95,121.24,0.78,0.88,0.78,1.61,1.48,1.35,0.68,0.2,7.02,21.46,1.75,5.37,0.38
Bank610,,,,0.13,0.18,0.18,0.18,0.18,0.08,0.1,0.1,0.14,0.2,0.21,0.26,2.01,,0.68,1.8,2.17,6.5,6.5,6.5,7,7.5,,,,,,,,,3.93,0.88,3.05,3.08,2.92,2.45,2.39,2.96,0.45,3.52,0.39,0.05,3.97,4.31,0.27,77.8,102.23,59.77,13.67,9.08,36.24,0,13.53,12.3,1.26,115.36,0.96,1.05,0.67,2.64,1.68,1.32,0.54,0.5,0.21,13.52,0.05,3.38,0.91
Bank611,,,,0.13,0.18,0.18,0.18,0.18,0.08,0.1,0.1,0.14,0.2,0.21,0.26,2.01,,0.68,1.8,2.17,6.5,6.5,6.5,7,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank612,0.1,0.1,0.2,0.25,0.35,0.4,0.4,0.4,0.15,0.2,0.15,0.2,,0.35,0.45,,0.6,0.8,,1.25,6.75,7,7.25,,9.25,9.25,,,,,,,,3.45,0.38,3.08,3.25,3.16,2.59,2.61,2.41,1.13,2.52,1.04,0.08,3.65,4.46,0.15,53.13,63.08,71.66,31.05,14.77,18.63,0,47.96,40.88,4.96,121.79,0.44,0.49,0.49,,1.07,0.79,0.49,,-3.7,-3.33,-0.92,-0.83,0.72
Bank613,0.15,0.15,0.15,0.15,0.15,0.25,0.35,0.35,0.15,0.15,0.5,1,,1.25,1.5,1.75,1.75,1.75,2,2.25,,,,,,,,,,,,,,3.39,0.8,2.59,2.81,2.59,2.14,2.3,1.5,0.59,3.08,0.51,0.09,3.67,4.26,0.23,66.67,86.71,58.42,43.61,21.89,8.74,0,30.42,23.76,2.19,125.32,1.04,1.08,1.08,,1.68,1.59,1.08,,1.06,0.98,0.26,0.25,0.96
Bank614,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.25,0.35,0.75,1.5,1.6,1.55,1.1,1.1,,1.6,,,,,,,,,,,,,,3.4,0.88,2.51,2.66,2.5,2.58,2.3,3.6,0.3,3.29,0.21,0.09,3.59,3.73,0.1,83.95,109.5,84.15,17.66,10.75,78.86,0,9.58,8.55,-28.23,116.86,1,1.09,0.97,1.89,1.63,1.25,0.84,0.25,6.74,-2.74,1.69,-0.69,0.22
Bank615,0.1,0.1,0.1,0.25,0.25,0.25,0.55,0.55,0.05,0.05,0.15,0.3,0.3,1.01,1.26,1.61,1.76,2.02,,2.17,,,,,,,,,11,,,11.49,13.49,3.65,0.71,2.95,3.12,2.93,2.02,2.17,1.63,0.44,3.43,0.35,0.1,3.87,4.39,0.38,73.39,84.38,83.44,17.01,10.16,175.96,0.05,24.1,21.65,12.06,126.1,0.79,0.94,0.91,1.59,1.88,1.72,0.88,0.06,1.9,6.17,0.47,1.54,0.4
Bank616,0.05,0.05,0.09,0.21,1.27,1.27,1.27,1.27,0.05,0.05,0.08,0.12,0.21,0.25,0.3,0.38,,0.53,0.75,2.03,2.6,2.85,2.85,3.35,3,3,3.1,,,,,11.4,,3.82,0.79,3.03,3.23,3.18,2.03,1.95,2.51,0.4,3.67,0.33,0.06,4.06,4.56,0.63,74.63,91.86,79.16,12.87,6.28,46.53,0.08,7.91,7.41,15.66,106.52,0.84,0.88,0.64,2.28,0.74,0.88,0.55,0.34,6.63,19.39,1.66,4.85,0.59
Bank617,0.06,0.06,0.03,0.06,0.1,0.14,0.14,0.14,0.06,0.06,0.27,0.35,,0.37,0.66,0.79,,1.08,1.41,1.67,5.24,5.49,5.74,6.24,5.49,5.99,6.24,,,6.24,6.24,9.74,9.74,4.12,0.22,3.9,4.1,4.02,2.32,2.44,1.26,0.67,3.66,0.63,0.04,4.33,5.15,1.06,68.12,79.15,53.78,13.86,9.78,49.22,0.03,23.42,21.13,29.3,136.52,0.24,0.31,0.22,2.04,1.35,0.61,0.21,0.11,-6.66,-5.74,-1.67,-1.43,2.27
Bank618,0.06,0.05,0.02,0.04,0.07,0.07,0.1,0.13,0.06,0.06,0.15,0.31,,0.48,0.57,0.66,0.25,0.83,0.98,1.2,3.16,3.16,3.16,3.41,3.68,3.68,3.9,4.11,12.9,4.26,4.26,10.75,10.63,4.15,0.39,3.75,4.11,3.89,2.61,2.63,2.28,0.7,3.84,0.67,0.03,4.54,5.25,0.96,67.33,79.26,71.24,13.46,10.46,73.49,0.08,21.81,19.53,-18.24,156.89,0.43,0.65,0.44,2.42,1.07,0.8,0.39,0.26,9.99,19.38,2.5,4.84,0.95
Bank619,0.1,0.1,0.1,0.1,0.15,0.15,0.2,0.6,0.1,0.1,0.46,0.55,0.55,0.73,0.81,1.04,1.13,1.27,1.44,1.6,,3.9,4,4.1,4.85,4.9,5,,6,5.25,5.5,11.49,16.49,3.66,0.36,3.29,3.59,3.48,2.04,2.12,1.76,0.74,3.24,0.59,0.15,3.98,5.09,1.09,57.84,65.23,72.41,12.42,7.79,95.19,0.02,25.09,23.13,3.01,135.22,0.39,0.5,0.36,4.22,1.6,0.83,0.35,0.15,131.33,131.4,32.83,32.85,0.81
Bank620,0.25,0.25,0.2,0.2,0.4,0.5,0.75,0.75,0.25,0.25,0.5,0.8,0.8,1.26,1.36,1.61,1.61,1.71,1.91,2.27,3.25,3.25,4,4.25,4.75,4.75,4.75,,,7,7,,,4.4,0.91,3.49,3.54,3.28,1.94,2.41,1.48,0.62,3.84,0.38,0.24,4.46,5.65,0.09,67.66,85.47,62.99,42.65,20.27,37.37,0.05,20.54,16.38,8.26,129.67,1.14,1.18,1.19,0,1.69,1.48,1.19,0,0.85,-0.65,0.21,-0.16,0.91
Bank621,0.1,0.1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.25,,0.4,0.4,0.55,0.55,0.75,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank622,0.3,0.3,,,,,,,0.1,0.1,0.2,0.6,,1.26,1.97,1.36,1.41,1.46,,1.82,,,,,,,,,,,,,,4.29,0.92,3.37,3.59,3.34,1.87,2.19,1.64,0.27,4.31,0.13,0.14,4.58,5.03,0.21,79.51,111.35,83.94,28.65,15.78,271.53,-0.01,16.56,13.94,-10.7,124.52,1.1,1.24,1.15,1.66,1.88,1.47,0.96,0.28,9.23,15.84,2.31,3.96,0.45
Bank623,0.02,0.02,0.05,0.05,0.05,0.05,0.1,0.1,0.05,0.05,0.1,0.15,,0.2,,0.3,,0.4,,,5.02,5.21,5.41,6.1,6.07,5.89,6.42,7.15,,,,,,4.02,0.22,3.8,4.05,3.88,2.16,2.24,1.9,0.86,3.43,0.68,0.18,4.29,5.69,0.3,57.23,65.81,55.35,14.65,9.73,519.31,0.01,39.89,36.01,33.12,175.4,0.25,0.41,0.26,5.82,0.64,0.34,0.25,0.15,-8.16,-9.79,-2.04,-2.45,1.27
Bank624,0.02,0.02,0.04,0.06,0.08,0.08,0.13,0.13,0.03,0.03,0.03,0.1,0.1,0.17,0.2,0.3,0.61,0.53,0.69,0.94,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,9.49,5.99,5.99,9,11,3.72,0.21,3.51,3.93,3.91,2.28,2.31,1.91,0.5,3.67,0.47,0.03,4.17,4.69,0.63,70.24,83.92,74.34,12.68,13.57,79.1,0,17.06,14.74,19.3,148.03,0.2,0.26,0.21,2.09,0.76,0.66,0.21,0.05,54.75,60.23,13.69,15.06,0.78
Bank625,0.2,0.2,0.2,0.25,0.3,0.35,0.4,0.45,0.2,0.2,0.25,0.5,,0.7,0.75,0.85,1.1,1.1,,1.6,4.7,4.7,4.7,,5.9,5.9,5.9,,,6.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,0.5,3.76,4.2,4.11,1.37,1.44,1.36,0.3,4.46,0.04,0.26,4.76,5.7,0.07,69.58,84.65,80,34.33,17.37,26.44,0,34.19,28.25,2.93,117.16,0.61,0.65,0.65,,,1.04,0.65,,3.91,3.57,0.98,0.89,0.6
Bank627,0.05,0.05,,,,,,,0.15,0.15,0.25,0.3,0.35,0.35,0.5,1.5,1,1.25,1.5,2,,,,,,,,,,,,,,3.67,0.76,2.92,3.01,2.58,2.1,2.42,1.45,0.62,3.16,0.48,0.14,3.79,4.5,0,64.5,117.11,109.78,81.63,37.65,69.61,0,51.59,32.17,-3.07,153.19,1.2,1.21,1.07,2.21,1.22,1.34,0.94,0.27,3.6,16.02,0.9,4,-0.12
Bank628,0.05,0.05,0.1,0.15,0.2,0.25,0.3,0.3,0.05,0.05,0.15,0.2,,0.4,0.6,0.65,,0.75,0.85,1.25,4.5,4.5,4.75,5,4.75,5,5.25,,,4.75,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,0.14,2.77,3.07,3.03,1.49,1.2,1.51,0.76,2.46,0.04,0.71,3.22,5.02,0.71,43.74,57.26,97.75,56.58,22.21,,0,60.83,47.32,27.48,128.01,0.18,0.19,0.19,,0,0.38,0.19,,0.98,0.89,0.25,0.22,0.09
Bank630,0.15,0.15,0.23,0.29,0.37,0.39,0.39,0.39,0.15,0.15,0.34,0.39,,0.62,0.65,0.76,0.85,1.15,1.41,1.99,4.02,4.77,4.89,5.64,5.92,5.92,5.4,,11.59,7.29,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank631,0.05,0.05,0.05,0.1,0.2,0.2,0.3,0.5,0.1,0.1,0.05,0.15,0.15,0.25,0.3,0.35,0.35,0.75,0.9,0.95,3.75,4.25,4.25,4.25,3.95,4.5,4.5,,9.99,6.99,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank632,0.15,0.15,0.15,0.2,0.2,0.2,0.25,0.3,0.15,0.15,0.2,0.3,,0.45,0.55,0.75,0.85,0.95,1.2,1.5,4,4,4,4,4.25,4.25,4.25,,,,,6.75,11.75,3.77,0.77,3,3.07,2.83,1.79,1.79,1.78,0.28,3.58,0.18,0.09,3.86,4.24,0.79,80.36,100.67,55.08,17.12,11.78,166.24,-0.04,19.8,17.46,21.84,128.57,0.88,1.03,0.78,2.93,1.82,1.45,0.69,0.34,12.94,26.74,3.23,6.68,1.46
Bank633,,,0.05,0.05,0.05,0.25,0.5,0.5,0.01,0.01,0.5,0.65,,1.41,1.66,1.71,1.87,1.92,1.97,2.02,,,,,,,,,,,,,,3.89,1,2.9,2.93,2.74,1.82,2.07,1.79,0.31,3.64,0.03,0.28,3.94,4.38,0.06,84.14,122.47,30.41,12.98,8.68,397.24,0,15.11,13.8,-20.19,117.98,1.1,1.21,1.07,1.56,1.52,1.43,0.76,0.45,-7.78,6.93,-1.94,1.73,1.57
Bank634,0.02,0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.1,0.1,0.2,0.2,0.35,0.35,0.35,0.35,0.55,4.74,4.99,5.49,,4.74,5.01,5.5,,,5.53,5.53,,11.24,4.55,0.7,3.85,4.39,4.15,2.53,2.49,2.87,0.44,4.74,0.38,0.06,5.18,5.74,0.69,72.09,99.32,38.05,15.56,15.63,147.49,0.06,10.2,8.6,6.39,131.42,0.82,1.03,0.75,2.38,1.25,0.74,0.62,0.41,-3.5,0.31,-0.88,0.08,2.05
Bank635,0.14,0.14,,0.15,0.3,0.3,0.55,0.75,0.15,0.25,0.03,0.05,,0.23,,0.3,,0.5,0.75,1,2.49,2.74,3.09,3.24,2.49,2.74,3.09,3.24,11.28,8.09,8.09,11.24,13.24,3.66,0.46,3.2,3.5,3.34,2.52,2.7,1.65,0.76,3.24,0.68,0.08,4,4.64,1.24,63.19,80.45,89.46,19.87,12.55,69.23,0.07,30.97,27.07,15.96,132.46,0.53,0.66,0.54,1.47,1.45,1.14,0.47,0.19,-0.44,9.55,-0.11,2.39,0.45
Bank636,0.01,0.01,0.01,0.03,0.05,0.1,0.2,0.4,0.01,0.01,,0.05,,0.18,0.2,0.37,0.4,0.6,1.01,1.31,,,,,,,,,,,,,,4.35,0.94,3.41,3.56,3.38,2.6,2.11,2.92,0.23,4.3,0.08,0.16,4.53,4.72,0.29,86.62,121.46,57.07,18.95,11.68,461.8,-0.01,8.83,7.8,0.42,116.22,1.07,1.15,0.98,1.91,1.51,1.56,0.8,0.36,5.98,2.29,1.5,0.57,1.25
Bank637,0.05,0.05,0.05,0.1,1.1,1.1,1.5,1.5,0.1,0.1,0.2,0.3,,0.4,0.5,0.6,0.7,0.95,1.15,1.4,,,,,,,,,,,,,,4.4,0.84,3.56,3.76,3.52,2,2.06,1.52,0.34,4.3,0.31,0.03,4.64,5.18,0.54,78.4,92.96,61.95,17.59,11.09,44.94,0.05,17.88,15.9,13.13,124.25,0.94,1.12,1.07,1.91,1.47,1.43,1,0.12,0.2,6.44,0.05,1.61,1.06
Bank638,0.05,0.05,0.05,0.25,0.25,0.4,0.4,0.4,0.05,0.05,0.86,1.06,,1.26,,1.46,,1.59,1.8,1.86,,,,,,,,,,,,,,3.88,1,2.89,3.61,3.54,3.11,10.86,1.49,0.72,4.13,0.44,0.29,4.85,5.38,0.04,63.72,88.74,178.49,26.05,16.42,38.46,0,27.58,23.05,9.47,109.07,1.2,1.31,1.28,1.45,1.35,1.64,1.08,0.22,12.26,20.56,3.07,5.14,-2.5
Bank639,0.2,0.2,0.2,0.2,0.2,0.2,0.35,0.35,0.2,0.2,0.25,0.4,0.4,0.5,0.5,0.75,,0.75,1,1,3.75,3.75,3.75,3.75,5.9,5.9,,,,,,11.49,13.49,2.82,0.27,2.55,2.62,2.52,1.99,1.99,1.88,1.11,1.79,1.07,0.04,2.9,4.05,0.41,43.6,55.68,74.24,34.7,18.01,81.36,0,55.44,45.46,-6.09,134.25,0.33,0.37,0.37,0.55,0.75,0.63,0.36,0.02,-6.73,-11.36,-1.68,-2.84,0.59
Bank640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,0.85,3.7,3.92,3.82,1.21,1.48,0.97,0.13,4.7,0.07,0.05,4.83,5.25,-0.2,85.85,100.92,83.29,23.08,12.74,24.66,0,11.48,10.01,-13.87,110.82,1,1,1,,1.32,1.03,1,,-3.25,-5.17,-0.81,-1.29,0.54
Bank641,0.1,0.1,0.15,0.15,0.15,0.2,0.4,0.4,0.1,0.1,0.25,0.5,,0.75,,0.9,,1.25,1.5,,4.49,4.59,4.79,5.29,4.79,4.99,5.19,,10.49,5.79,5.79,11.49,13.49,3.86,0.32,3.54,3.78,3.67,2.24,2.34,1.71,0.65,3.48,0.57,0.07,4.13,4.89,0.88,64.64,74.96,98.82,17.56,11.18,698.24,-0.05,28.13,24.98,26.31,133.47,0.37,0.45,0.45,1.07,0.34,0.92,0.45,0,6.69,9.31,1.67,2.33,-0.14
Bank642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,1.01,2.02,2.71,2.91,3.72,3.86,2.81,1.58,2.48,1.43,0.15,4.06,4.31,-0.08,42.88,73.04,91.08,25.51,11.21,42.52,0,30.52,27.1,-16.77,105.93,1.14,1.16,0.74,1.98,1.74,1.13,0.49,0.67,0.57,-3.75,0.14,-0.94,0.23
Bank643,,,0.05,0.05,0.1,0.1,0.15,0.15,0.05,0.05,0.05,0.05,0.55,0.1,0.15,0.2,0.2,0.4,0.9,1.21,,,,,,,,,,,,11.49,13.49,4.02,0.26,3.75,3.82,3.69,1.5,1.5,1.5,0.22,3.87,0.17,0.04,4.09,4.53,0.88,83.53,94.12,74.86,13.93,10.84,210.59,0.04,12.99,11.58,11.54,148.13,0.29,0.4,0.4,,1.36,0.89,0.4,,-0.21,0.77,-0.05,0.19,0.9
Bank644,0.75,0.75,,,,,,,0.3,0.3,0.3,0.5,,1.3,0.8,1.3,1.75,1.75,,2.1,,,,,,,,,,,,,,5.99,1.31,4.69,4.84,4.69,1.74,4.5,1.47,0.16,6.04,0.04,0.12,6.19,6.63,2.14,88.56,106.68,90.11,13.27,9.54,21.65,0.16,8.58,7.76,-7.17,112.55,1.47,1.51,1.51,1.29,1.95,1.73,1.45,0.05,19.54,-2.55,4.88,-0.64,0.38
Bank645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,0.61,4.21,4.44,4.33,3.41,1.72,4.98,0.13,4.95,0.03,0.1,5.08,5.14,0.41,91.18,111.12,51.36,17.21,12.23,92.41,0.14,3.73,3.28,10.43,120.27,0.7,0.74,0.7,1.13,1.53,1.47,0.62,0.12,-26.44,-1.49,-6.61,-0.37,1.46
Bank646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,0.61,2.64,2.61,2.45,1.51,1.38,1.62,0.55,2.67,0.23,0.33,3.22,4.21,0.16,63.46,78.87,77.1,39.25,19.35,61.38,0.74,40.6,32.74,25.33,122.57,0.76,0.77,0.77,1.6,1.13,0.94,0.77,0.01,-0.4,1.93,-0.1,0.48,0.4
Bank647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,0.48,2.95,3.13,3.02,2.11,2.1,2.48,1.03,2.61,0.98,0.05,3.64,5.1,1.09,49.7,71.09,72.81,33.35,17.8,752.54,0,18.1,14.88,-16.38,119.55,0.59,0.62,0.46,1.67,0.48,0.79,0.4,0.22,5.32,-2.27,1.33,-0.57,0.91
