Bank,IntChk2.5k,IntChk5k,MM2.5k,MM10k,MM25k,MM50k,MM100k,MM250k,Savings1k,Savings2.5k,3MoCD,6MoCD,9MoCD,1YrCD,18MoCD,2YrCD,30MoCD,3YrCD,4YrCD,5YrCD,36MoNAuto25k,48MoNAuto25k,60MoNAuto25k,72MoNAuto25k,36MoUAuto15k,48MoUAuto15k,60MoUAuto15k,72MoUAuto15k,36MoFixedUnsecLoan5k,60MoNRV25k,60MoNBoat25k,PlatCC,RwrdsCC,InterestIncomeoverAvgAssets,InterestExpenseoverAverageAssets,NetInterestIncomeoverAvgAssets,NetInterestMargin,YieldoverCostSpread,YieldonSecurities&OtherAssets,YieldonDebtandEquitySecurities,YieldonOtherAssets,AssetweightedSecurities&OtherYield,AssetweightedLoanYield,AssetweightedSecuritiesYield,AssetweightedOtherAssetYield,YieldonEarningAssets,YieldonLoansandLeases,NoninterestIncomeoverAverageAssets,GrossLoansoverAssets,LoansoverDeposits,OperatingExpenseoverOperatingRevenue,RiskBasedCapitalRatio,EquityoverAssets,ReservesoverNPAs,NetChargeoffsoverAvgLoans,LiquidityRatio,LiquidAssetsoverAssets,OneYearGapoverAssets,EarningAssetsoverIBL,CostofFunds,CostofInterestbearingLiabilities,CostofIntbearingDeposits,CostofBorrowings,CostofTimeDeposits$250K,CostofOtherTimeDeposits,LiabweighCostofIntbearDep,LiabilitywtdBorrowingCost,AssetGrowthRate,DepositGrowthRate,ChangeinAssets,ChangeinDeposits,ROAA
Bank157,0.05,0.08,0.05,0.05,0.07,0.1,0.15,0.2,0.1,0.1,0.15,0.25,,0.35,0.45,0.6,0.75,0.8,1.1,1.51,3.5,3.65,3.65,4.13,3.5,3.65,3.65,4.13,10.77,5.09,5.09,,,4.04,0.24,3.8,4.03,3.84,1.61,1.78,1.47,0.41,3.87,0.2,0.21,4.28,5.2,1.66,70.46,85.02,61.58,16.15,12.07,344.09,0,23.23,20.42,59.07,170.43,0.28,0.44,0.45,0.32,0.82,1.03,0.41,0.03,33.74,43.82,8.44,10.95,1.64
Bank158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,0.74,3,3.29,3.26,3.2,3.22,3.14,0.64,3.47,0.48,0.16,4.11,4.33,0.44,70.73,87.63,102.24,13.78,7.73,18.6,0.23,23.17,21.38,6.68,104.15,0.8,0.85,0.66,2.13,1.84,1.22,0.58,0.27,-6.12,-3.77,-1.53,-0.94,0.13
Bank159,0.1,0.1,0.24,0.24,0.24,0.54,0.54,0.6,0.24,0.24,0.45,0.5,,0.54,,0.62,,0.74,0.86,0.99,3.95,3.95,4.45,4.95,3.95,3.95,4.45,4.95,10.99,4.55,4.55,11.49,13.49,4.99,0.85,4.14,4.36,4.29,2.47,2.32,3.22,0.3,4.96,0.24,0.06,5.26,5.65,1.39,81.02,102.69,74.92,12.77,7.88,35.88,0.13,8.92,8.22,11.48,124.62,0.82,0.97,0.67,2.96,1.56,1.08,0.58,0.39,4.22,1.2,1.06,0.3,0.99
Bank160,,,0.1,0.1,0.15,0.25,0.25,0.25,0.1,0.1,0.2,0.2,,0.3,,0.5,,1.56,0.75,2.02,,,,,,,,,,,,,,3.81,0.51,3.3,3.54,3.42,2.03,2.42,2.01,0.13,3.96,0.01,0.12,4.08,4.22,1.08,87.23,101.96,88.42,12.16,8.98,207.37,0,8.23,7.49,17.58,120.31,0.57,0.66,0.6,1.56,1.7,1.08,0.56,0.1,13.05,17.95,3.26,4.49,0.41
Bank161,0.05,0.05,0.07,0.16,0.16,0.16,0.21,0.24,0.03,0.03,0.09,0.15,0.15,0.28,0.28,0.64,0.64,0.83,0.98,1.23,4.99,4.99,4.99,5.64,4.99,4.99,4.99,,8.49,6.64,6.64,11.49,13.49,3.65,0.53,3.13,3.3,3.28,2.75,2.8,1.76,0.78,3.08,0.76,0.02,3.86,4.3,1.03,67.85,80.6,63.92,14.51,9.1,135.5,-0.07,26.73,24.3,15.44,142.63,0.46,0.58,0.51,1.6,1.26,1.22,0.48,0.1,-1.15,-2.2,-0.29,-0.55,1.18
Bank162,,,0.15,0.15,0.15,0.15,0.2,0.2,0.15,0.15,0.5,0.65,1.1,0.85,1.1,1.35,1.4,1.5,2.1,1.7,3.99,4.5,4.99,,4.99,4.99,4.99,,9.99,,,,,3.66,0.85,2.81,2.88,2.7,2.2,2.19,2.26,0.47,3.28,0.39,0.08,3.75,4.17,0.27,76.77,98.38,68.36,14.33,10.76,32.5,0,13.9,12.41,-7.06,119.11,0.96,1.05,0.85,2.31,1.61,1.79,0.73,0.32,6.62,8.26,1.66,2.06,0.73
Bank163,0.03,0.03,0.05,0.05,0.05,0.07,0.1,0.13,0.05,0.05,0.1,0.15,0.15,1.01,0.25,1.26,1.26,1.51,0.5,0.9,5.5,5.5,5.75,,6.5,6.75,,,12.5,,,,,3.7,0.61,3.09,3.33,3.22,2.32,2.21,4.21,0.55,3.43,0.5,0.06,3.98,4.51,0.36,71.17,93.32,57.79,13.25,9.63,166.54,-0.04,10.51,9.49,6.6,147.94,0.56,0.76,0.44,2.19,1.44,0.95,0.36,0.4,6.3,11.6,1.58,2.9,1.08
Bank164,0.05,0.05,0.05,0.1,0.1,0.15,0.15,0.2,0.05,0.05,,0.1,0.1,1.5,0.3,0.35,,0.45,0.55,,6.69,6.99,6.99,,6.99,7.69,7.69,,15,,,11.24,13.24,4.01,0.6,3.41,3.75,3.59,2.36,2.44,1.79,0.49,3.93,0.45,0.04,4.42,4.95,7.5,72.96,90.6,91.24,14.76,8.84,48.42,-0.01,14.13,12.88,4.62,116.71,0.71,0.83,0.6,2.99,1.08,0.93,0.54,0.29,10.83,-5.2,2.71,-1.3,0.61
Bank165,0.35,0.35,0.55,0.55,0.55,0.55,0.55,0.55,0.35,0.35,0.55,0.6,,0.7,0.8,0.9,1,1.25,1.35,1.4,4.75,4.75,4.75,4.75,6.25,6.25,6.25,,,4.75,,,,2.32,0.47,1.85,2.03,1.83,1.96,2.17,1.56,1.53,1.02,1.11,0.42,2.55,4.64,9.09,19.41,28.29,16.5,110.22,26.14,496.2,0.01,67.28,47.73,-14.02,156.13,0.62,0.71,0.71,,0.73,0.71,0.71,0.01,16.13,15.41,4.03,3.85,7.14
Bank166,0.07,0.07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.25,,0.4,1.98,0.55,,1.01,1.26,1.51,5.25,5.5,5.75,,5.5,5.75,6,,11.25,13.5,11,11.49,13.49,3.62,0.51,3.1,3.19,3.04,2.64,2.66,2.43,0.42,3.3,0.4,0.02,3.72,3.93,1.09,80.77,100.51,74.47,13.45,12.43,96.77,0.03,18.02,15.71,-2.2,129.9,0.59,0.69,0.57,2.11,1.26,1.4,0.53,0.16,3.58,9.79,0.89,2.45,0.95
